too_complex
follow_news
regularly_discuss
attend_workshops
seen_opportunities
regularly_use
essential_for_success
verify_accuracy
positive_learning_experience
negative_learning_experience
outside_classwork
turn_in_answer
positive_social_issues_1
personal_privacy
more_transparent
creativity_innovation
trust_accuracy
ethics_concern
human_biases
job_security
interested_training
lack_exposure
professors_encourage
seeking_opportunities
sdsu_offers
skeptical_benefits
potential_solve_global
essential_most_professions
negative_creativity
long_term_concerns
unregulated_risk
significant_career
chatgpt
grammarly
adobe
dalle
bard
notion
bing
zoom
github
midjourney
